Country,City,Capital,Population,Winter,Summer,Year,Latitude,Longitude
Afghanistan,Kabul,1,3817241,0,0,0,34.5260131,69.17764759999999
Algeria,Algiers,1,2712944,0,0,0,36.775360600000006,3.0601882000000002
Algeria,Wahran,0,1165687,0,0,0,35.5428186,-0.3421804
Andorra,Andorra La Vella,1,22205,1,0,2010,42.506939100000004,1.5212466999999998
Angola,Luanda,1,2487444,0,0,0,-8.827269900000001,13.243951199999998
Argentina,Buenos Aires,1,13879707,0,1,2004,-34.6075682,-58.4370894
Argentina,Córdoba,0,1525490,0,0,0,-31.4173391,-64.183319
Argentina,Mendoza,0,1094209,0,0,0,-34.78719615,-68.43807123826872
Argentina,Rosario,0,1444436,0,0,0,-32.959500399999996,-60.661541500000006
Armenia,Yerevan,1,1076716,0,0,0,40.177612100000005,44.5125849
Australia,Adelaide,0,1334167,0,0,0,-34.928180499999996,138.5999312
Australia,Brisbane,0,2413457,0,1,1992,-27.468968199999996,153.02349909999998
Australia,Melbourne,0,4843781,0,2,1996,-37.814217600000006,144.9631608
Australia,Perth,0,2039041,0,0,0,-31.952712100000003,115.86047959999999
Australia,Sydney,0,5132355,0,2,2000,-33.8548157,151.2164539
Austria,Graz,0,286292,1,0,2026,47.070867799999995,15.438278599999999
Austria,Innsbruck,0,132493,2,0,1976,47.26951525,11.397137204221066
Austria,Klagenfurt,0,100369,1,0,2006,46.6228162,14.307960399999999
Austria,Salzburg,0,153377,1,0,2014,47.798134600000004,13.046480599999999
Austria,Vienna,1,1888776,0,1,1964,48.2083537,16.372504199999998
Azerbaijan,Baku,1,2254175,0,1,2020,40.3754434,49.8326748
Bangladesh,Chittagong,0,2591681,0,0,0,22.3307998,91.84128630000001
Bangladesh,Dhaka,1,8906035,0,0,0,23.7593572,90.3788136
Belarus,Minsk,1,1982444,0,0,0,53.902333999999996,27.561879100000002
Belgium,Antwerp,0,718730,0,2,1920,51.2211097,4.3997081
Belgium,Brussels,1,1550299,0,1,1964,50.8436709,4.3674366933879565
Bolivia,Santa Cruz,0,1616063,0,0,0,-17.333333,-61.5
Bosnia and Herzegovina,Sarajevo,0,0,2,0,2010,43.851977399999996,18.386686800000003
Brazil,Belo Horizonte,0,2513451,0,0,0,-19.9227318,-43.9450948
Brazil,Belém,0,1446042,0,0,0,-1.45056,-48.4682453
Brazil,Brasilia,1,2977216,0,1,2000,-10.333333300000001,-53.2
Brazil,Campinas,0,1173370,0,0,0,-22.90556,-47.060829999999996
Brazil,Curitiba,0,1893997,0,0,0,-25.4295963,-49.2712724
Brazil,Fortaleza,0,2609716,0,0,0,-3.7304512,-38.5217989
Brazil,Goiânia,0,1448639,0,0,0,-16.680882,-49.2532691
Brazil,Guarulhos,0,1337087,0,0,0,-23.443060199999998,-46.524459
Brazil,Maceió,0,1021709,0,0,0,-9.647684300000002,-35.733926399999994
Brazil,Manaus,0,2094391,0,0,0,-3.1316333,-59.9825041
Brazil,Porto Alegre,0,1481019,0,0,0,-30.0324999,-51.23037670000001
Brazil,Recife,0,1625583,0,0,0,-8.064193099999999,-34.878151700000004
Brazil,Rio De Janeiro,0,6498837,0,2,2016,-22.911013699999998,-43.2093727
Brazil,Salvador,0,2938092,0,0,0,-12.982249900000001,-38.48127720000001
Brazil,Sao Gonçalo,0,1044058,0,0,0,-22.821901399999998,-43.030925200000006
Brazil,Sao Luís,0,1082935,0,0,0,-2.5634605,-44.2448718
Brazil,Sao Paulo,0,12038175,0,0,0,-23.5506507,-46.633382399999995
Bulgaria,Sofia,1,1238438,1,0,2014,42.697863399999996,23.322178899999997
Burkina Faso,Ouagadougou,1,1475223,0,0,0,12.368148,-1.527085
Cambodia,Bat Dambang,0,1126345,0,0,0,13.0998526,103.19666590000001
Cambodia,Phnom Penh,1,1570791,0,0,0,11.568271000000001,104.9224426
Cameroon,Douala,0,2948464,0,0,0,4.042940799999999,9.706203
Cameroon,Yaounde,1,2873567,0,0,0,3.8689867,11.521334399999999
Canada,Banff,0,0,1,0,1972,51.177778100000005,-115.5682504
Canada,Calgary,0,1486050,2,0,2026,51.0534234,-114.0625892
Canada,Edmonton,0,1420916,0,0,0,53.535410999999996,-113.50799599999999
Canada,Montreal,0,4255541,1,2,1976,45.4972159,-73.61036419999999
Canada,Ottawa,1,1414399,0,0,0,45.421106,-75.690308
Canada,Québec,0,817408,1,0,2002,52.4760892,-71.8258668
Canada,Toronto,0,6341935,0,1,2008,43.6534817,-79.38393470000001
Canada,Vancouver,0,2650005,2,0,2010,49.2608724,-123.11395290000002
Chile,Santiago,1,5613962,0,0,0,-33.4377968,-70.65044509999998
China,Beijing,1,18796000,2,2,2022,39.906217,116.3912757
China,Harbin,0,0,1,0,2010,45.7656666,126.6160584
Colombia,Barranquilla,0,1232462,0,0,0,10.9799669,-74.80130849999999
Colombia,Bogotá D.C.,1,8181047,0,0,0,4.6155710999999995,-74.06847044854091
