,Country,City,Cluster Labels,Capital,Population,Winter,Summer,Year,Latitude,Longitude,Arts And Entertainment,Food,Nightlife,Outdoors And Recreation,Map_Color,Cluster_Color
0,Afghanistan,Kabul,3,1,3817241,0,0,0,34.5260131,69.17764759999999,2.619693123908079,4.191508998252927,1.3098465619540396,2.619693123908079,#A0A0A0,#dbb40c
1,Algeria,Algiers,3,1,2712944,0,0,0,36.775360600000006,3.0601882,2.948826072340601,18.798766211171333,2.948826072340601,11.42670103031983,#A0A0A0,#dbb40c
2,Algeria,Wahran,3,0,1165687,0,0,0,35.5428186,-0.3421804,2.573589651424439,6.862905737131837,1.7157264342829592,0.8578632171414796,#A0A0A0,#dbb40c
3,Andorra,Andorra La Vella,1,1,22205,1,0,2010,42.5069391,1.5212466999999998,540.4188245890565,7115.514523755911,2161.675298356226,4548.525106957893,#75bbfd,#15b01a
4,Angola,Luanda,3,1,2487444,0,0,0,-8.827269900000003,13.243951199999998,2.0100955036575696,22.51306964096478,7.236343813167251,15.27672582779753,#A0A0A0,#dbb40c
5,Argentina,Buenos Aires,3,1,13879707,0,1,2004,-34.6075682,-58.4370894,14.91385949285529,16.787097883262234,15.850478688058761,17.79576470886597,#ff878c,#dbb40c
6,Argentina,Córdoba,3,0,1525490,0,0,0,-31.4173391,-64.183319,27.532137214927662,68.17481596077326,55.064274429855324,68.17481596077326,#A0A0A0,#dbb40c
7,Argentina,Mendoza,3,0,1094209,0,0,0,-34.78719615,-68.43807123826872,4.569510943521759,15.536337207973979,8.225119698339165,10.052924075747868,#A0A0A0,#dbb40c
8,Argentina,Rosario,3,0,1444436,0,0,0,-32.9595004,-60.66154150000001,25.61553436773938,54.692627433821926,29.07709306608254,48.461821776804236,#A0A0A0,#dbb40c
9,Armenia,Yerevan,3,1,1076716,0,0,0,40.17761210000001,44.5125849,53.86750080801251,74.30000111450002,40.86500061297501,84.51625126774377,#A0A0A0,#dbb40c
10,Australia,Adelaide,0,0,1334167,0,0,0,-34.9281805,138.5999312,53.9662575974372,122.92314230527361,71.95501012991627,135.66517534911299,#A0A0A0,#7e1e9c
11,Australia,Brisbane,3,0,2413457,0,1,1992,-27.4689682,153.02349909999995,42.263027681868785,77.06787400811368,50.54989585478423,82.45433832050871,#ff878c,#dbb40c
12,Australia,Melbourne,3,0,4843781,0,2,1996,-37.814217600000006,144.9631608,34.27074840914567,50.99322203047578,49.960970572368986,48.72226882264082,#e50000,#dbb40c
13,Australia,Perth,0,0,2039041,0,0,0,-31.952712100000007,115.8604796,42.66711655135919,90.72892600001667,48.061809448657485,102.9895916756946,#A0A0A0,#7e1e9c
14,Australia,Sydney,3,0,5132355,0,2,2000,-33.8548157,151.2164539,33.12319588181254,46.5673165632541,47.73637053555337,48.51573985041954,#e50000,#dbb40c
15,Austria,Graz,2,0,286292,1,0,2026,47.0708678,15.4382786,146.7033657943638,440.1100973830914,272.4491079038185,338.814916239364,#75bbfd,#f97306
16,Austria,Innsbruck,4,0,132493,2,0,1976,47.26951525,11.397137204221066,120.7610968126618,898.1606575441722,679.2811695712227,860.4228147902154,#0504aa,#7f4e1e
